"Province","Lag_Numeric","Lag_Description","RR","Lower","Upper"
"Kanchanaburi",2,"cumulative_Lag 2","1.0136","0.9851","1.0429"
"Khon Kaen",2,"cumulative_Lag 2","1.0344","1.0152","1.0539"
"Lampang",2,"cumulative_Lag 2","0.9917","0.9699","1.0141"
"Lamphun",2,"cumulative_Lag 2","0.9991","0.9713","1.0278"
"Loei",2,"cumulative_Lag 2","0.9979","0.9733","1.0233"
"Lop Buri",2,"cumulative_Lag 2","1.1068","1.0488","1.168"
"Mae Hong Son",2,"cumulative_Lag 2","1.0083","0.9819","1.0353"
"Mukdahan",2,"cumulative_Lag 2","0.9892","0.8385","1.1671"
"Nakhon Pathom",2,"cumulative_Lag 2","1.0428","1.011","1.0757"
"Nakhon Phanom",2,"cumulative_Lag 2","0.9957","0.9657","1.0267"
"Nakhon Ratchasima",2,"cumulative_Lag 2","1.0597","1.0385","1.0814"
"Nakhon Sawan",2,"cumulative_Lag 2","1.0199","0.9904","1.0502"
"Nakhon Si Thammarat",2,"cumulative_Lag 2","1.0762","1.0099","1.1468"
"Nan",2,"cumulative_Lag 2","1.0066","0.9833","1.0304"
"Narathiwat",2,"cumulative_Lag 2","0.971","0.918","1.027"
"Nong Khai",2,"cumulative_Lag 2","1.0213","0.9952","1.0481"
